   9.9980000e-01   2.0616136e+02   4.5633708e+00
   1.5001000e+00   4.8585797e+01   2.2153217e+00
   1.9998000e+00   1.2626247e+01   1.1293258e+00
   2.5001000e+00   5.5555485e+00   7.4911001e-01
   2.9998000e+00   5.0504987e+00   7.1424837e-01
   3.5001000e+00   3.9393890e+00   6.3080708e-01
   3.9999000e+00   3.7373690e+00   6.1441968e-01
   4.5001000e+00   3.9393890e+00   6.3080708e-01
   5.0000000e+00   2.5252493e+00   5.0504987e-01
   5.5001000e+00   4.7474688e+00   6.9248949e-01
   5.9999000e+00   4.1414089e+00   6.4677941e-01
   6.5001000e+00   4.6464588e+00   6.8508297e-01
   6.9999000e+00   4.7474688e+00   6.9248949e-01
   7.4999000e+00   5.2525186e+00   7.2839328e-01
   8.0001000e+00   4.6464588e+00   6.8508297e-01
   8.5000000e+00   6.1616084e+00   7.8891311e-01
   9.0001000e+00   5.4545386e+00   7.4226868e-01
   9.4996000e+00   4.8484787e+00   6.9981762e-01
   1.0000400e+01   4.4444388e+00   6.7002436e-01
   1.0499900e+01   4.8484787e+00   6.9981762e-01
   1.0999800e+01   4.6464588e+00   6.8508297e-01
   1.1500300e+01   5.6565585e+00   7.5588943e-01
   1.1999900e+01   4.4444388e+00   6.7002436e-01
   1.2499900e+01   4.1414089e+00   6.4677941e-01
   1.3000200e+01   4.1414089e+00   6.4677941e-01
   1.3499900e+01   4.1414089e+00   6.4677941e-01
   1.3999900e+01   4.7474688e+00   6.9248949e-01
   1.4500400e+01   3.8383790e+00   6.2266729e-01
   1.4999600e+01   3.1313092e+00   5.6239973e-01
   1.5500000e+01   3.6363590e+00   6.0605984e-01
   1.6000000e+01   2.8282793e+00   5.3449454e-01
   1.6500500e+01   3.2323192e+00   5.7139870e-01
   1.6999500e+01   3.2323192e+00   5.7139870e-01
   1.7500100e+01   5.1515086e+00   7.2135550e-01
   1.8000100e+01   5.4545386e+00   7.4226868e-01
   1.8500100e+01   5.4545386e+00   7.4226868e-01
   1.8999500e+01   6.1616084e+00   7.8891311e-01
   1.9500600e+01   7.3737281e+00   8.6302959e-01
   2.0000100e+01   9.2929176e+00   9.6885363e-01
   2.0499900e+01   1.1515137e+01   1.0784914e+00
   2.0999300e+01   2.1212094e+01   1.4637736e+00
   2.1500000e+01   2.5656533e+01   1.6098341e+00
   2.1999700e+01   3.3030261e+01   1.8265776e+00
   2.2500300e+01   3.4646421e+01   1.8707309e+00
   2.3000000e+01   3.1313092e+01   1.7784641e+00
   2.3499700e+01   2.9999962e+01   1.7407744e+00
   2.4000000e+01   2.9696932e+01   1.7319603e+00
   2.4500500e+01   2.6868653e+01   1.6474228e+00
   2.5000100e+01   2.6464613e+01   1.6349893e+00
   2.5500000e+01   1.8484825e+01   1.3664376e+00
   2.6000200e+01   1.7474725e+01   1.3285788e+00
   2.6500000e+01   1.5959576e+01   1.2696757e+00
   2.7000000e+01   1.2626247e+01   1.1293258e+00
   2.7500400e+01   1.1616147e+01   1.0832113e+00
   2.7999600e+01   9.1919076e+00   9.6357373e-01
   2.8499900e+01   8.3838278e+00   9.2024465e-01
   2.8999800e+01   7.3737281e+00   8.6302959e-01
   2.9499700e+01   6.8686782e+00   8.3294958e-01
   3.0000000e+01   9.4949375e+00   9.7932803e-01
   3.0500500e+01   1.0100997e+01   1.0100997e+00
   3.1000300e+01   1.1616147e+01   1.0832113e+00
   3.1499600e+01   1.2727257e+01   1.1338341e+00
   3.1999900e+01   1.5555536e+01   1.2535008e+00
   3.2501000e+01   1.7777755e+01   1.3400487e+00
   3.2999900e+01   1.9494925e+01   1.4032754e+00
   3.3499400e+01   1.8888865e+01   1.3812906e+00
   3.4000100e+01   2.1818154e+01   1.4845374e+00
   3.4501600e+01   2.6262593e+01   1.6287369e+00
   3.4999100e+01   2.6262593e+01   1.6287369e+00
   3.5500700e+01   2.4242394e+01   1.5648398e+00
   3.5999800e+01   2.5656533e+01   1.6098341e+00
   3.6500700e+01   2.7171683e+01   1.6566867e+00
   3.6999000e+01   2.5757543e+01   1.6129999e+00
   3.7500200e+01   2.2323204e+01   1.5016212e+00
   3.8000600e+01   2.1919164e+01   1.4879698e+00
   3.8499700e+01   1.9191895e+01   1.3923264e+00
   3.9000400e+01   1.6767656e+01   1.3014225e+00
   3.9499000e+01   1.5151496e+01   1.2371145e+00
   4.0000600e+01   1.0303017e+01   1.0201507e+00
   4.0500600e+01   9.2929176e+00   9.6885363e-01
   4.0998600e+01   6.9696882e+00   8.3905186e-01
   4.1501400e+01   5.6565585e+00   7.5588943e-01
   4.1999500e+01   5.9595884e+00   7.7587233e-01
   4.2499000e+01   4.2424189e+00   6.5461945e-01
   4.3000500e+01   5.8585785e+00   7.6926904e-01
   4.3501100e+01   4.6464588e+00   6.8508297e-01
   4.3998300e+01   4.6464588e+00   6.8508297e-01
   4.4501900e+01   6.2626184e+00   7.9535333e-01
   4.4998200e+01   5.3535286e+00   7.3536371e-01
   4.5501900e+01   4.7474688e+00   6.9248949e-01
   4.5998000e+01   5.7575685e+00   7.6260858e-01
   4.6499500e+01   5.2525186e+00   7.2839328e-01
   4.7001300e+01   4.6464588e+00   6.8508297e-01
   4.7499300e+01   4.3434289e+00   6.6236669e-01
   4.7999800e+01   5.5555485e+00   7.4911001e-01
   4.8499800e+01   5.6565585e+00   7.5588943e-01
   4.9000200e+01   4.4444388e+00   6.7002436e-01
   4.9499700e+01   5.8585785e+00   7.6926904e-01
   5.0000300e+01   6.1616084e+00   7.8891311e-01
   5.0001600e+01   6.0605984e+00   7.8241989e-01
   5.0500600e+01   5.4545386e+00   7.4226868e-01
   5.0999800e+01   6.4646383e+00   8.0807979e-01
   5.1500900e+01   6.4646383e+00   8.0807979e-01
   5.2000400e+01   7.0706981e+00   8.4511007e-01
   5.2499000e+01   8.8888777e+00   9.4755754e-01
   5.2500400e+01   4.3434289e+00   6.6236669e-01
   5.3000600e+01   8.9898876e+00   9.5292618e-01
   5.3499900e+01   9.9999874e+00   1.0050365e+00
   5.3999500e+01   1.0303017e+01   1.0201507e+00
   5.4501400e+01   1.0808067e+01   1.0448553e+00
   5.4999100e+01   1.0404027e+01   1.0251393e+00
   5.5000200e+01   6.3636283e+00   8.0174181e-01
   5.5500400e+01   1.3030287e+01   1.1472528e+00
   5.5999500e+01   1.1717157e+01   1.0879107e+00
   5.6500600e+01   9.4949375e+00   9.7932803e-01
   5.7000000e+01   9.1919076e+00   9.6357373e-01
   5.7499300e+01   6.9696882e+00   8.3905186e-01
   5.7500100e+01   5.7575685e+00   7.6260858e-01
   5.8002000e+01   8.8888777e+00   9.4755754e-01
